,est_id,est_nm,pool_id,pool_nm
0,257,Abja Spordi- ja Tervisekeskus,402,Abja Spordi-ja Tervisekeskuse väike bassein
1,257,Abja Spordi- ja Tervisekeskus,402,Abja Spordi-ja Tervisekeskuse väike bassein
2,257,Abja Spordi- ja Tervisekeskus,401,Abja Spordi- ja Tervisekeskuse suur bassein
3,257,Abja Spordi- ja Tervisekeskus,401,Abja Spordi- ja Tervisekeskuse suur bassein
4,171,Adeli Terviseklubi,244,Adeli Terviseklubi bassein
5,171,Adeli Terviseklubi,244,Adeli Terviseklubi bassein
6,55,Aqva Hotel & Spa Veekeskus,75,Aqva veekeskuse beebibassein
7,55,Aqva Hotel & Spa Veekeskus,75,Aqva veekeskuse beebibassein
8,55,Aqva Hotel & Spa Veekeskus,509,Aqva veekeskuse külmaveebassein
9,55,Aqva Hotel & Spa Veekeskus,509,Aqva veekeskuse külmaveebassein
10,55,Aqva Hotel & Spa Veekeskus,470,Aqva veekeskuse välibassein
11,55,Aqva Hotel & Spa Veekeskus,470,Aqva veekeskuse välibassein
12,55,Aqva Hotel & Spa Veekeskus,74,Aqva veekeskuse lõbubassein
13,55,Aqva Hotel & Spa Veekeskus,74,Aqva veekeskuse lõbubassein
14,55,Aqva Hotel & Spa Veekeskus,76,Aqva veekeskuse sportbassein
15,55,Aqva Hotel & Spa Veekeskus,76,Aqva veekeskuse sportbassein
16,230,Ardu lasteaed,342,Ardu lasteaed
17,230,Ardu lasteaed,342,Ardu lasteaed
18,75,Arena,93,Arena suur bassein
19,75,Arena,93,Arena suur bassein
20,75,Arena,92,Arena lastebassein
21,75,Arena,92,Arena lastebassein
22,133,Arensburg Welness SPA,178,Arensburg Welness SPA bassein
23,133,Arensburg Welness SPA,178,Arensburg Welness SPA bassein
24,133,Arensburg Welness SPA,343,Arensburg Welness SPA mullivann
25,133,Arensburg Welness SPA,343,Arensburg Welness SPA mullivann
26,64,AS Medicum Tervishoiuteenused ujula,77,AS Medicum Tervishoiuteenused ujula bassein
27,64,AS Medicum Tervishoiuteenused ujula,77,AS Medicum Tervishoiuteenused ujula bassein
